MARKET: Bitcoin Up or Down - December 12, 9:15AM-9:30AM ET
RESOLUTION: NO
TRADES: 955
TIME RANGE: 2025-12-12 09:15:30 to 2025-12-12 09:29:14
PRICE RANGE: 1.00 - 95.00

--- Position at resolution ---
Remaining YES shares: 5393.64
Remaining NO shares:  5374.96
Final value: $ 5374.96
Total spent (net exposure): $ 5250.82
FINAL PNL: $ 124.14

--- Buy/Sell totals ---
YES buys:  5393.64 sh / $ 2605.44
YES sells: 0.00 sh / $ 0.00
NO buys:   5374.96 sh / $ 2645.37
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 5393.64 sh / $ 2605.44
NO cumulative:  5374.96 sh / $ 2645.37

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 2605.44 at trade #953
NO dollar peak:  $ 2645.37 at trade #955
YES share peak:  5393.64 sh at trade #953
NO share peak:   5374.96 sh at trade #955

--- Final exposure ---
YES exposure: $ 2605.44 | 5393.64 sh
NO exposure:  $ 2645.37 | 5374.96 sh
NET exposure: $ 5250.82 | 10768.60 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
----+---------------------+------+-----+----------+------------+------------
  1 | 2025-12-12 09:15:30 | Buy  | Up   |    44.00 |      20.00 | $      8.80
  2 | 2025-12-12 09:15:30 | Buy  | Up   |    44.00 |      20.00 | $      8.80
  3 | 2025-12-12 09:15:30 | Buy  | Up   |    44.00 |      20.00 | $      8.80
  4 | 2025-12-12 09:15:32 | Buy  | Down |    55.00 |       5.00 | $      2.75
  5 | 2025-12-12 09:15:34 | Buy  | Down |    60.00 |      20.00 | $     12.00
  6 | 2025-12-12 09:15:34 | Buy  | Down |    60.00 |      10.00 | $      6.00
  7 | 2025-12-12 09:15:34 | Buy  | Down |    60.00 |       5.00 | $      3.00
  8 | 2025-12-12 09:15:34 | Buy  | Down |    61.00 |      20.00 | $     12.20
  9 | 2025-12-12 09:15:34 | Buy  | Down |    58.00 |       1.67 | $      0.97
 10 | 2025-12-12 09:15:34 | Buy  | Down |    60.00 |       5.00 | $      3.00
 11 | 2025-12-12 09:15:36 | Buy  | Down |    60.00 |       5.37 | $      3.22
 12 | 2025-12-12 09:15:36 | Buy  | Down |    58.00 |       6.00 | $      3.48
 13 | 2025-12-12 09:15:36 | Buy  | Down |    60.00 |       6.00 | $      3.60
 14 | 2025-12-12 09:15:36 | Buy  | Down |    60.00 |       6.19 | $      3.71
 15 | 2025-12-12 09:15:38 | Buy  | Down |    58.00 |       3.00 | $      1.74
 16 | 2025-12-12 09:15:38 | Buy  | Down |    58.00 |      20.00 | $     11.60
 17 | 2025-12-12 09:15:38 | Buy  | Down |    58.00 |       2.62 | $      1.52
 18 | 2025-12-12 09:15:38 | Buy  | Down |    58.00 |      10.76 | $      6.24
 19 | 2025-12-12 09:15:38 | Buy  | Down |    59.00 |      20.00 | $     11.80
 20 | 2025-12-12 09:15:40 | Buy  | Down |    58.00 |       3.61 | $      2.09
 21 | 2025-12-12 09:15:42 | Buy  | Down |    59.00 |       4.88 | $      2.88
 22 | 2025-12-12 09:15:42 | Buy  | Down |    59.00 |      14.51 | $      8.56
 23 | 2025-12-12 09:15:42 | Buy  | Down |    59.00 |      12.20 | $      7.20
 24 | 2025-12-12 09:15:44 | Buy  | Up   |    38.00 |      20.00 | $      7.60
 25 | 2025-12-12 09:15:44 | Buy  | Up   |    37.00 |       6.00 | $      2.22
 26 | 2025-12-12 09:15:44 | Buy  | Up   |    37.00 |      14.00 | $      5.18
 27 | 2025-12-12 09:15:44 | Buy  | Up   |    37.00 |       4.00 | $      1.48
 28 | 2025-12-12 09:15:44 | Buy  | Up   |    38.00 |      20.00 | $      7.60
 29 | 2025-12-12 09:15:46 | Buy  | Up   |    37.00 |      20.00 | $      7.40
 30 | 2025-12-12 09:15:46 | Buy  | Up   |    37.00 |       4.00 | $      1.48
 31 | 2025-12-12 09:15:46 | Buy  | Up   |    38.00 |       0.41 | $      0.16
 32 | 2025-12-12 09:15:48 | Buy  | Up   |    38.00 |       5.00 | $      1.90
 33 | 2025-12-12 09:15:50 | Buy  | Up   |    37.00 |      20.00 | $      7.40
 34 | 2025-12-12 09:15:50 | Buy  | Up   |    37.00 |      10.00 | $      3.70
 35 | 2025-12-12 09:15:50 | Buy  | Up   |    37.00 |      20.00 | $      7.40
 36 | 2025-12-12 09:15:52 | Buy  | Down |    61.00 |       8.31 | $      5.07
 37 | 2025-12-12 09:15:52 | Buy  | Up   |    37.00 |       5.00 | $      1.85
 38 | 2025-12-12 09:15:52 | Buy  | Down |    61.00 |       1.69 | $      1.03
 39 | 2025-12-12 09:15:52 | Buy  | Down |    61.00 |       3.31 | $      2.02
 40 | 2025-12-12 09:15:52 | Buy  | Down |    61.00 |      11.69 | $      7.13
 41 | 2025-12-12 09:15:54 | Buy  | Down |    61.00 |      15.00 | $      9.15
 42 | 2025-12-12 09:15:54 | Buy  | Up   |    39.00 |       5.33 | $      2.08
 43 | 2025-12-12 09:15:54 | Buy  | Up   |    39.00 |       6.56 | $      2.56
 44 | 2025-12-12 09:15:56 | Buy  | Down |    59.00 |      17.00 | $     10.03
 45 | 2025-12-12 09:15:56 | Buy  | Up   |    39.00 |      11.89 | $      4.64
 46 | 2025-12-12 09:15:56 | Buy  | Down |    59.00 |       8.48 | $      5.00
 47 | 2025-12-12 09:15:56 | Buy  | Down |    59.00 |       5.00 | $      2.95
 48 | 2025-12-12 09:15:56 | Buy  | Up   |    39.00 |       8.11 | $      3.16
 49 | 2025-12-12 09:15:56 | Buy  | Up   |    40.00 |      20.00 | $      8.00
 50 | 2025-12-12 09:15:56 | Buy  | Up   |    40.00 |      20.00 | $      8.00
 51 | 2025-12-12 09:15:56 | Buy  | Up   |    40.00 |      20.00 | $      8.00
