MARKET: Bitcoin Up or Down - December 12, 9:30AM-9:45AM ET
RESOLUTION: YES
TRADES: 707
TIME RANGE: 2025-12-12 09:30:20 to 2025-12-12 09:41:20
PRICE RANGE: 2.00 - 99.00

--- Position at resolution ---
Remaining YES shares: 4085.34
Remaining NO shares:  4043.87
Final value: $ 4085.34
Total spent (net exposure): $ 4032.10
FINAL PNL: $ 53.23

--- Buy/Sell totals ---
YES buys:  4085.34 sh / $ 2713.01
YES sells: 0.00 sh / $ 0.00
NO buys:   4043.87 sh / $ 1319.09
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 4085.34 sh / $ 2713.01
NO cumulative:  4043.87 sh / $ 1319.09

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 2713.01 at trade #707
NO dollar peak:  $ 1319.09 at trade #703
YES share peak:  4085.34 sh at trade #707
NO share peak:   4043.87 sh at trade #703

--- Final exposure ---
YES exposure: $ 2713.01 | 4085.34 sh
NO exposure:  $ 1319.09 | 4043.87 sh
NET exposure: $ 4032.10 | 8129.20 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
----+---------------------+------+-----+----------+------------+------------
  1 | 2025-12-12 09:30:20 | Buy  | Up   |    39.00 |      20.00 | $      7.80
  2 | 2025-12-12 09:30:20 | Buy  | Down |    60.00 |      20.00 | $     12.00
  3 | 2025-12-12 09:30:22 | Buy  | Down |    60.00 |      20.00 | $     12.00
  4 | 2025-12-12 09:30:22 | Buy  | Down |    60.00 |      20.00 | $     12.00
  5 | 2025-12-12 09:30:22 | Buy  | Down |    60.00 |      20.00 | $     12.00
  6 | 2025-12-12 09:30:22 | Buy  | Up   |    39.00 |      20.00 | $      7.80
  7 | 2025-12-12 09:30:22 | Buy  | Down |    59.77 |      20.00 | $     11.95
  8 | 2025-12-12 09:30:22 | Buy  | Up   |    39.00 |      20.00 | $      7.80
  9 | 2025-12-12 09:30:24 | Buy  | Down |    67.00 |      17.45 | $     11.69
 10 | 2025-12-12 09:30:24 | Buy  | Up   |    39.00 |       5.00 | $      1.95
 11 | 2025-12-12 09:30:24 | Buy  | Up   |    32.00 |      15.00 | $      4.80
 12 | 2025-12-12 09:30:24 | Buy  | Up   |    33.00 |      20.00 | $      6.60
 13 | 2025-12-12 09:30:24 | Buy  | Up   |    38.00 |       1.66 | $      0.63
 14 | 2025-12-12 09:30:26 | Buy  | Up   |    42.00 |       8.00 | $      3.36
 15 | 2025-12-12 09:30:26 | Buy  | Up   |    36.00 |       8.00 | $      2.88
 16 | 2025-12-12 09:30:26 | Buy  | Up   |    35.00 |       7.00 | $      2.45
 17 | 2025-12-12 09:30:28 | Buy  | Up   |    42.00 |      12.00 | $      5.04
 18 | 2025-12-12 09:30:28 | Buy  | Up   |    39.00 |       1.93 | $      0.75
 19 | 2025-12-12 09:30:28 | Buy  | Down |    64.00 |       6.50 | $      4.16
 20 | 2025-12-12 09:30:28 | Buy  | Down |    66.00 |       5.00 | $      3.30
 21 | 2025-12-12 09:30:28 | Buy  | Up   |    42.00 |       8.00 | $      3.36
 22 | 2025-12-12 09:30:28 | Buy  | Up   |    39.00 |      15.00 | $      5.85
